Data Sorteio;Bola1;Bola2;Bola3;Bola4;Bola5;Bola6;Trevo1;Trevo2;;;;;;;;;;;;;;;;;;;;;;;;;
28/05/2022;1;3;7;15;23;44;2;4;;;;;;;;;;;;;;;;;;;;;;;;;
04/06/2022;13;16;35;41;42;47;2;6;;;;;;;;;;;;;;;;;;;;;;;;;
11/06/2022;1;9;17;30;31;44;1;4;;;;;;;;;;;;;;;;;;;;;;;;;
18/06/2022;6;23;25;33;34;47;1;2;;;;;;;;;;;;;;;;;;;;;;;;;
25/06/2022;6;16;21;24;26;45;2;5;;;;;;;;;;;;;;;;;;;;;;;;;
02/07/2022;1;19;22;32;39;45;1;5;;;;;;;;;;;;;;;;;;;;;;;;;
09/07/2022;9;12;35;44;47;48;1;5;;;;;;;;;;;;;;;;;;;;;;;;;
16/07/2022;1;4;5;16;38;50;1;3;;;;;;;;;;;;;;;;;;;;;;;;;
23/07/2022;6;11;12;14;15;18;3;4;;;;;;;;;;;;;;;;;;;;;;;;;
30/07/2022;4;6;10;42;47;48;2;5;;;;;;;;;;;;;;;;;;;;;;;;;
06/08/2022;4;13;15;31;39;45;2;4;;;;;;;;;;;;;;;;;;;;;;;;;
13/08/2022;6;20;24;26;31;50;1;5;;;;;;;;;;;;;;;;;;;;;;;;;
20/08/2022;14;31;39;44;45;46;1;2;;;;;;;;;;;;;;;;;;;;;;;;;
27/08/2022;12;13;42;46;48;49;1;3;;;;;;;;;;;;;;;;;;;;;;;;;
03/09/2022;3;35;37;39;41;50;4;6;;;;;;;;;;;;;;;;;;;;;;;;;
10/09/2022;3;11;13;23;33;47;2;5;;;;;;;;;;;;;;;;;;;;;;;;;
17/09/2022;3;17;25;46;48;50;1;3;;;;;;;;;;;;;;;;;;;;;;;;;
24/09/2022;10;18;20;39;42;49;3;4;;;;;;;;;;;;;;;;;;;;;;;;;
01/10/2022;6;19;33;34;39;47;3;5;;;;;;;;;;;;;;;;;;;;;;;;;
08/10/2022;4;8;10;11;22;25;5;6;;;;;;;;;;;;;;;;;;;;;;;;;
15/10/2022;4;26;27;29;34;35;5;6;;;;;;;;;;;;;;;;;;;;;;;;;
22/10/2022;5;22;28;46;47;48;3;4;;;;;;;;;;;;;;;;;;;;;;;;;
29/10/2022;4;5;11;27;34;50;1;5;;;;;;;;;;;;;;;;;;;;;;;;;
05/11/2022;22;29;31;32;36;45;5;6;;;;;;;;;;;;;;;;;;;;;;;;;
12/11/2022;10;14;21;31;39;42;3;6;;;;;;;;;;;;;;;;;;;;;;;;;
19/11/2022;5;12;26;31;34;50;5;6;;;;;;;;;;;;;;;;;;;;;;;;;
26/11/2022;3;16;17;21;23;37;1;4;;;;;;;;;;;;;;;;;;;;;;;;;
03/12/2022;2;7;29;40;41;50;2;6;;;;;;;;;;;;;;;;;;;;;;;;;
10/12/2022;12;22;30;33;43;44;2;5;;;;;;;;;;;;;;;;;;;;;;;;;
17/12/2022;2;24;31;39;46;47;1;2;;;;;;;;;;;;;;;;;;;;;;;;;
24/12/2022;14;15;29;32;41;50;3;5;;;;;;;;;;;;;;;;;;;;;;;;;
31/12/2022;12;23;30;36;45;46;2;6;;;;;;;;;;;;;;;;;;;;;;;;;
07/01/2023;1;3;6;13;21;32;4;5;;;;;;;;;;;;;;;;;;;;;;;;;
14/01/2023;3;6;8;36;49;50;1;6;;;;;;;;;;;;;;;;;;;;;;;;;
21/01/2023;1;2;16;28;33;42;2;4;;;;;;;;;;;;;;;;;;;;;;;;;
28/01/2023;2;8;9;15;28;32;1;4;;;;;;;;;;;;;;;;;;;;;;;;;
04/02/2023;8;16;20;25;45;46;3;4;;;;;;;;;;;;;;;;;;;;;;;;;
11/02/2023;7;14;15;16;18;23;2;3;;;;;;;;;;;;;;;;;;;;;;;;;
18/02/2023;2;3;11;16;17;46;2;3;;;;;;;;;;;;;;;;;;;;;;;;;
25/02/2023;2;12;22;30;33;48;2;3;;;;;;;;;;;;;;;;;;;;;;;;;
04/03/2023;5;16;18;40;42;44;1;4;;;;;;;;;;;;;;;;;;;;;;;;;
11/03/2023;2;9;14;25;33;44;3;6;;;;;;;;;;;;;;;;;;;;;;;;;
18/03/2023;3;6;8;11;14;33;4;5;;;;;;;;;;;;;;;;;;;;;;;;;
25/03/2023;1;9;12;29;32;36;2;6;;;;;;;;;;;;;;;;;;;;;;;;;
01/04/2023;7;20;22;25;43;45;2;5;;;;;;;;;;;;;;;;;;;;;;;;;
08/04/2023;2;11;16;17;29;46;2;5;;;;;;;;;;;;;;;;;;;;;;;;;
15/04/2023;12;15;26;31;39;43;4;6;;;;;;;;;;;;;;;;;;;;;;;;;
22/04/2023;10;36;38;39;46;49;1;3;;;;;;;;;;;;;;;;;;;;;;;;;
29/04/2023;4;13;21;30;36;48;2;3;;;;;;;;;;;;;;;;;;;;;;;;;
06/05/2023;12;21;24;26;35;49;1;6;;;;;;;;;;;;;;;;;;;;;;;;;
13/05/2023;14;17;18;34;46;50;3;5;;;;;;;;;;;;;;;;;;;;;;;;;
20/05/2023;24;29;31;36;49;50;4;6;;;;;;;;;;;;;;;;;;;;;;;;;
27/05/2023;2;16;23;33;35;44;1;6;;;;;;;;;;;;;;;;;;;;;;;;;
03/06/2023;8;11;13;21;38;39;2;6;;;;;;;;;;;;;;;;;;;;;;;;;
10/06/2023;17;25;36;40;46;50;1;5;;;;;;;;;;;;;;;;;;;;;;;;;
17/06/2023;1;14;27;28;44;46;3;4;;;;;;;;;;;;;;;;;;;;;;;;;
24/06/2023;8;16;26;40;44;50;2;6;;;;;;;;;;;;;;;;;;;;;;;;;
01/07/2023;3;18;21;26;28;31;3;5;;;;;;;;;;;;;;;;;;;;;;;;;
08/07/2023;9;16;21;22;34;48;1;2;;;;;;;;;;;;;;;;;;;;;;;;;
15/07/2023;4;7;17;27;36;41;4;5;;;;;;;;;;;;;;;;;;;;;;;;;
19/07/2023;6;14;15;23;25;45;4;5;;;;;;;;;;;;;;;;;;;;;;;;;
22/07/2023;4;25;29;35;44;47;1;5;;;;;;;;;;;;;;;;;;;;;;;;;
26/07/2023;22;24;28;32;43;46;1;3;;;;;;;;;;;;;;;;;;;;;;;;;
29/07/2023;13;18;21;33;42;49;1;4;;;;;;;;;;;;;;;;;;;;;;;;;
02/08/2023;9;11;15;23;31;43;2;5;;;;;;;;;;;;;;;;;;;;;;;;;
05/08/2023;2;17;20;28;46;50;1;2;;;;;;;;;;;;;;;;;;;;;;;;;
09/08/2023;1;8;10;20;28;39;4;5;;;;;;;;;;;;;;;;;;;;;;;;;
12/08/2023;4;15;24;29;38;41;3;4;;;;;;;;;;;;;;;;;;;;;;;;;
16/08/2023;2;9;41;43;44;46;3;5;;;;;;;;;;;;;;;;;;;;;;;;;
19/08/2023;1;2;16;32;37;39;3;6;;;;;;;;;;;;;;;;;;;;;;;;;
23/08/2023;4;14;23;38;45;47;4;6;;;;;;;;;;;;;;;;;;;;;;;;;
26/08/2023;6;7;25;35;41;48;2;6;;;;;;;;;;;;;;;;;;;;;;;;;
30/08/2023;6;17;27;31;40;41;2;5;;;;;;;;;;;;;;;;;;;;;;;;;
02/09/2023;2;13;30;32;33;41;2;6;;;;;;;;;;;;;;;;;;;;;;;;;
06/09/2023;4;10;11;19;26;31;1;3;;;;;;;;;;;;;;;;;;;;;;;;;
09/09/2023;8;16;23;38;42;49;1;3;;;;;;;;;;;;;;;;;;;;;;;;;
13/09/2023;21;22;25;31;41;48;5;6;;;;;;;;;;;;;;;;;;;;;;;;;
16/09/2023;5;11;12;30;41;49;2;4;;;;;;;;;;;;;;;;;;;;;;;;;
20/09/2023;4;11;15;18;26;28;2;3;;;;;;;;;;;;;;;;;;;;;;;;;
23/09/2023;22;27;31;32;41;47;2;3;;;;;;;;;;;;;;;;;;;;;;;;;
27/09/2023;4;6;15;38;49;50;3;4;;;;;;;;;;;;;;;;;;;;;;;;;
30/09/2023;12;13;18;21;27;34;2;3;;;;;;;;;;;;;;;;;;;;;;;;;
04/10/2023;1;15;27;31;37;41;2;6;;;;;;;;;;;;;;;;;;;;;;;;;
07/10/2023;24;27;35;42;44;46;1;5;;;;;;;;;;;;;;;;;;;;;;;;;
11/10/2023;2;10;19;36;40;48;1;3;;;;;;;;;;;;;;;;;;;;;;;;;
14/10/2023;2;3;9;11;22;45;1;6;;;;;;;;;;;;;;;;;;;;;;;;;
18/10/2023;2;3;6;12;44;49;4;5;;;;;;;;;;;;;;;;;;;;;;;;;
21/10/2023;2;21;30;36;42;44;2;3;;;;;;;;;;;;;;;;;;;;;;;;;
25/10/2023;2;6;9;21;23;41;3;6;;;;;;;;;;;;;;;;;;;;;;;;;
28/10/2023;11;17;30;42;44;50;1;4;;;;;;;;;;;;;;;;;;;;;;;;;
01/11/2023;1;6;13;20;29;39;2;4;;;;;;;;;;;;;;;;;;;;;;;;;
04/11/2023;5;8;20;33;45;49;3;4;;;;;;;;;;;;;;;;;;;;;;;;;
08/11/2023;11;13;19;32;38;50;1;5;;;;;;;;;;;;;;;;;;;;;;;;;
11/11/2023;7;20;21;24;26;50;3;6;;;;;;;;;;;;;;;;;;;;;;;;;
16/11/2023;9;18;23;30;38;43;2;3;;;;;;;;;;;;;;;;;;;;;;;;;
18/11/2023;5;13;15;22;34;41;2;5;;;;;;;;;;;;;;;;;;;;;;;;;
22/11/2023;2;6;17;19;30;34;1;6;;;;;;;;;;;;;;;;;;;;;;;;;
25/11/2023;15;18;23;35;47;50;3;5;;;;;;;;;;;;;;;;;;;;;;;;;
29/11/2023;5;8;20;23;33;40;1;4;;;;;;;;;;;;;;;;;;;;;;;;;
02/12/2023;11;21;32;36;37;42;4;6;;;;;;;;;;;;;;;;;;;;;;;;;
06/12/2023;2;25;31;37;44;49;1;6;;;;;;;;;;;;;;;;;;;;;;;;;
09/12/2023;10;12;15;16;29;41;3;5;;;;;;;;;;;;;;;;;;;;;;;;;
13/12/2023;2;4;11;29;32;40;4;6;;;;;;;;;;;;;;;;;;;;;;;;;
16/12/2023;4;17;33;38;39;47;3;4;;;;;;;;;;;;;;;;;;;;;;;;;
20/12/2023;5;7;22;32;36;45;2;5;;;;;;;;;;;;;;;;;;;;;;;;;
23/12/2023;21;22;37;42;46;50;3;4;;;;;;;;;;;;;;;;;;;;;;;;;
27/12/2023;10;15;16;26;33;40;3;6;;;;;;;;;;;;;;;;;;;;;;;;;
30/12/2023;15;31;33;35;36;44;1;6;;;;;;;;;;;;;;;;;;;;;;;;;
03/01/2024;2;24;26;29;35;43;1;5;;;;;;;;;;;;;;;;;;;;;;;;;
06/01/2024;1;22;25;30;36;42;1;6;;;;;;;;;;;;;;;;;;;;;;;;;
10/01/2024;3;15;23;24;26;50;1;3;;;;;;;;;;;;;;;;;;;;;;;;;
13/01/2024;9;21;26;38;40;50;3;6;;;;;;;;;;;;;;;;;;;;;;;;;
17/01/2024;16;27;33;37;40;42;2;3;;;;;;;;;;;;;;;;;;;;;;;;;
20/01/2024;3;11;20;36;47;50;3;6;;;;;;;;;;;;;;;;;;;;;;;;;
24/01/2024;7;8;16;25;26;48;3;6;;;;;;;;;;;;;;;;;;;;;;;;;
27/01/2024;4;14;30;35;41;50;2;5;;;;;;;;;;;;;;;;;;;;;;;;;
31/01/2024;4;5;11;25;27;38;1;2;;;;;;;;;;;;;;;;;;;;;;;;;
03/02/2024;14;25;36;37;38;41;4;6;;;;;;;;;;;;;;;;;;;;;;;;;
07/02/2024;9;22;39;40;41;45;4;6;;;;;;;;;;;;;;;;;;;;;;;;;
10/02/2024;1;4;10;26;32;34;3;4;;;;;;;;;;;;;;;;;;;;;;;;;
14/02/2024;1;2;19;26;30;49;1;3;;;;;;;;;;;;;;;;;;;;;;;;;
17/02/2024;4;15;18;31;32;50;2;5;;;;;;;;;;;;;;;;;;;;;;;;;
21/02/2024;9;15;25;28;32;34;2;5;;;;;;;;;;;;;;;;;;;;;;;;;
24/02/2024;1;13;17;24;44;47;1;2;;;;;;;;;;;;;;;;;;;;;;;;;
28/02/2024;24;33;38;41;42;43;2;6;;;;;;;;;;;;;;;;;;;;;;;;;
02/03/2024;4;7;28;29;31;47;1;3;;;;;;;;;;;;;;;;;;;;;;;;;
06/03/2024;1;4;11;24;40;46;1;6;;;;;;;;;;;;;;;;;;;;;;;;;
09/03/2024;5;15;33;40;42;50;1;2;;;;;;;;;;;;;;;;;;;;;;;;;
13/03/2024;5;7;14;27;29;39;2;4;;;;;;;;;;;;;;;;;;;;;;;;;
16/03/2024;5;6;11;26;31;47;1;2;;;;;;;;;;;;;;;;;;;;;;;;;
20/03/2024;21;22;24;29;36;37;2;6;;;;;;;;;;;;;;;;;;;;;;;;;
23/03/2024;3;25;34;38;45;46;5;6;;;;;;;;;;;;;;;;;;;;;;;;;
27/03/2024;10;21;24;30;46;49;1;4;;;;;;;;;;;;;;;;;;;;;;;;;
30/03/2024;4;7;10;11;20;26;2;5;;;;;;;;;;;;;;;;;;;;;;;;;
03/04/2024;6;8;19;32;34;41;3;5;;;;;;;;;;;;;;;;;;;;;;;;;
06/04/2024;15;18;20;21;22;37;3;5;;;;;;;;;;;;;;;;;;;;;;;;;
10/04/2024;1;9;21;22;27;40;1;4;;;;;;;;;;;;;;;;;;;;;;;;;
13/04/2024;15;31;39;42;44;45;4;5;;;;;;;;;;;;;;;;;;;;;;;;;
17/04/2024;3;8;25;27;41;43;2;5;;;;;;;;;;;;;;;;;;;;;;;;;
20/04/2024;6;7;14;20;40;44;1;4;;;;;;;;;;;;;;;;;;;;;;;;;
24/04/2024;2;20;21;30;40;44;3;6;;;;;;;;;;;;;;;;;;;;;;;;;
27/04/2024;11;12;23;32;40;43;3;4;;;;;;;;;;;;;;;;;;;;;;;;;
04/05/2024;21;22;30;32;44;50;4;6;;;;;;;;;;;;;;;;;;;;;;;;;
08/05/2024;15;18;19;24;33;38;2;3;;;;;;;;;;;;;;;;;;;;;;;;;
11/05/2024;10;11;13;17;18;37;1;5;;;;;;;;;;;;;;;;;;;;;;;;;
15/05/2024;5;19;24;28;30;37;5;6;;;;;;;;;;;;;;;;;;;;;;;;;
18/05/2024;5;10;16;28;45;49;1;6;;;;;;;;;;;;;;;;;;;;;;;;;
22/05/2024;5;26;28;35;47;48;5;6;;;;;;;;;;;;;;;;;;;;;;;;;
25/05/2024;12;15;29;30;46;50;1;5;;;;;;;;;;;;;;;;;;;;;;;;;
29/05/2024;22;28;29;31;39;40;2;6;;;;;;;;;;;;;;;;;;;;;;;;;
01/06/2024;1;12;21;22;36;37;1;5;;;;;;;;;;;;;;;;;;;;;;;;;
05/06/2024;18;21;31;32;34;36;1;3;;;;;;;;;;;;;;;;;;;;;;;;;
08/06/2024;9;10;13;20;34;50;1;6;;;;;;;;;;;;;;;;;;;;;;;;;
12/06/2024;13;14;16;23;40;41;2;4;;;;;;;;;;;;;;;;;;;;;;;;;
15/06/2024;3;6;7;17;23;31;3;4;;;;;;;;;;;;;;;;;;;;;;;;;
19/06/2024;23;27;28;35;40;46;1;6;;;;;;;;;;;;;;;;;;;;;;;;;
22/06/2024;13;22;40;43;46;50;4;6;;;;;;;;;;;;;;;;;;;;;;;;;
26/06/2024;5;15;16;39;44;48;1;6;;;;;;;;;;;;;;;;;;;;;;;;;
29/06/2024;16;21;24;30;33;41;3;6;;;;;;;;;;;;;;;;;;;;;;;;;
03/07/2024;10;11;12;27;32;45;2;4;;;;;;;;;;;;;;;;;;;;;;;;;
06/07/2024;6;11;24;28;39;48;2;4;;;;;;;;;;;;;;;;;;;;;;;;;
10/07/2024;12;15;16;37;38;50;3;6;;;;;;;;;;;;;;;;;;;;;;;;;
13/07/2024;12;14;17;34;46;50;1;2;;;;;;;;;;;;;;;;;;;;;;;;;
17/07/2024;10;11;14;21;22;50;2;5;;;;;;;;;;;;;;;;;;;;;;;;;
20/07/2024;3;7;37;38;41;48;1;5;;;;;;;;;;;;;;;;;;;;;;;;;
24/07/2024;10;19;20;42;43;44;3;4;;;;;;;;;;;;;;;;;;;;;;;;;
27/07/2024;11;14;24;37;45;48;1;2;;;;;;;;;;;;;;;;;;;;;;;;;
31/07/2024;2;14;15;28;32;33;1;5;;;;;;;;;;;;;;;;;;;;;;;;;
03/08/2024;9;19;20;21;25;27;3;5;;;;;;;;;;;;;;;;;;;;;;;;;
07/08/2024;9;10;19;39;43;44;1;2;;;;;;;;;;;;;;;;;;;;;;;;;
10/08/2024;7;10;11;27;41;47;3;6;;;;;;;;;;;;;;;;;;;;;;;;;
14/08/2024;5;24;36;37;41;49;3;5;;;;;;;;;;;;;;;;;;;;;;;;;
17/08/2024;16;26;32;33;49;50;2;4;;;;;;;;;;;;;;;;;;;;;;;;;
21/08/2024;9;14;18;38;40;47;3;4;;;;;;;;;;;;;;;;;;;;;;;;;
